"def create_string_buffer(init, size=None):
    # Check if the initializer `init` is of type `bytes`
    if isinstance(init, bytes):
        # If `size` is not provided, calculate the buffer size as the length of `init` + 1 for null terminator
        if size is None:
            size = len(init) + 1
        
        # Perform a system audit for security with event type `ctypes.create_string_buffer`
        _sys.audit(""ctypes.create_string_buffer"", init, size)
        
        # Define a new character buffer type with the determined size
        buftype = c_char * size
        
        # Create an instance of the buffer
        buf = buftype()
        
        # Set the buffer's value to the initial `bytes` data
        buf.value = init
        
        # Return the initialized buffer
        return buf
    
    # Check if the initializer `init` is of type `int`
    elif isinstance(init, int):
        # Perform a system audit for security with event type `ctypes.create_string_buffer`
        _sys.audit(""ctypes.create_string_buffer"", None, init)
        
        # Define a new character buffer type with the size specified by `init`
        buftype = c_char * init
        
        # Create and return an instance of the buffer
        buf = buftype()
        return buf
    
    # Raise a TypeError if `init` is neither `bytes` nor `int`
    raise TypeError(init)
","The create_string_buffer function is a utility provided by the Python ctypes library to create mutable character buffers (arrays of type c_char). It allows creating these buffers either from an existing bytes object or by specifying a fixed size as an integer. When initialized with a bytes object, the function ensures the buffer size accommodates the data and includes an extra null byte for C-style string termination. If an integer is provided, it initializes an empty buffer of the specified size. The function raises a TypeError if the input type is neither bytes nor int. It also performs a system audit for security and compliance checks."
"def CFUNCTYPE(restype, *argtypes, **kw):   
    # Default flag for CDECL calling convention
    flags = _FUNCFLAG_CDECL

    # Check if ""use_errno"" keyword argument is set; modify flags accordingly
    if kw.pop(""use_errno"", False):
        flags |= _FUNCFLAG_USE_ERRNO

    # Check if ""use_last_error"" keyword argument is set; modify flags accordingly
    if kw.pop(""use_last_error"", False):
        flags |= _FUNCFLAG_USE_LASTERROR

    # Raise an error if there are any unexpected keyword arguments left
    if kw:
        raise ValueError(""unexpected keyword argument(s) %s"" % kw.keys())

    # Try to fetch a cached function prototype for the given signature and flags
    try:
        return _c_functype_cache[(restype, argtypes, flags)]
    except KeyError:
        # If not cached, proceed to create a new prototype
        pass

    # Define a dynamic class representing the C function prototype
    class CFunctionType(_CFuncPtr):
        # Set the argument types for the function
        _argtypes_ = argtypes
        # Set the return type for the function
        _restype_ = restype
        # Set the calling convention flags
        _flags_ = flags

    # Cache the newly created prototype for future reuse
    _c_functype_cache[(restype, argtypes, flags)] = CFunctionType

    # Return the dynamically created function prototype
    return CFunctionType","The CFUNCTYPE function is a factory for creating function prototypes in the Python ctypes library. It dynamically defines C-style function pointers based on a specified return type (restype) and argument types (argtypes). It can also accept keyword arguments (kw) to modify behavior, such as enabling use_errno or use_last_error. Internally, it uses caching to avoid recreating prototypes for the same signature and flags. The generated prototype can be used to wrap or call foreign functions, create callable C functions from Python callables, or interact with shared libraries and COM methods. The function raises a ValueError for unexpected keyword arguments."
"def _check_size(typ, typecode=None):
    # Import the calcsize function from the `struct` module to calculate expected size
    from struct import calcsize
    
    # If no typecode is provided, use the `_type_` attribute of the ctypes type
    if typecode is None:
        typecode = typ._type_
    
    # Get the actual size of the ctypes type using `sizeof`
    actual = sizeof(typ)
    
    # Calculate the required size based on the typecode using `struct.calcsize`
    required = calcsize(typecode)
    
    # Compare the actual size and the required size
    if actual != required:
        # Raise an error if there is a mismatch
        raise SystemError(
            ""sizeof(%s) wrong: %d instead of %d"" % (typ, actual, required)
        )","The _check_size function verifies the memory size of a given ctypes type against the expected size calculated using Python's struct module. It ensures that the sizeof value for a ctypes type matches the value returned by struct.calcsize for a corresponding typecode. This provides a safeguard against potential misconfigurations or inconsistencies in the underlying libffi library, which ctypes relies on for interfacing with C libraries. If a mismatch is found, the function raises a SystemError indicating the discrepancy."
"def _reset_cache():
    # Clear the cache for pointer type information
    _pointer_type_cache.clear()
    
    # Clear the cache for function type information
    _c_functype_cache.clear()
    
    # If running on Windows, clear the Windows-specific function type cache
    if _os.name == ""nt"":
        _win_functype_cache.clear()
    
    # Restore the default behavior for converting wide-character pointers (c_wchar_p)
    # When passing a `POINTER(c_wchar)` as a parameter, use the behavior of `c_wchar_p.from_param`
    POINTER(c_wchar).from_param = c_wchar_p.from_param
    
    # Restore the default behavior for converting character pointers (c_char_p)
    # When passing a `POINTER(c_char)` as a parameter, use the behavior of `c_char_p.from_param`
    POINTER(c_char).from_param = c_char_p.from_param
    
    # Explicitly map `None` to `c_void_p` in the pointer type cache
    # This ensures that passing `None` as a pointer translates to a void pointer
    _pointer_type_cache[None] = c_void_p
","The _reset_cache function is used internally to reset various caches and update type mappings in the Python ctypes library. It clears caches that store ctypes function and pointer type information (_pointer_type_cache, _c_functype_cache, and _win_functype_cache on Windows). Additionally, it restores default behavior for pointer type conversion by reassigning methods that determine how c_char and c_wchar pointers are processed. Finally, it explicitly maps None to the c_void_p type in the pointer type cache, maintaining compatibility with functions that expect void pointers."
"def create_unicode_buffer(init, size=None):
    if isinstance(init, str):
        # Handle the case where the input is a string
        if size is None:
            # Calculate buffer size based on the size of `c_wchar`
            if sizeof(c_wchar) == 2:
                # For UTF-16, account for surrogate pairs (2 `wchar_t` per non-BMP character)
                # Add 1 for the trailing null character
                size = sum(2 if ord(c) > 0xFFFF else 1 for c in init) + 1
            else:
                # For UTF-32, each character is 1 `wchar_t`; add 1 for the null terminator
                size = len(init) + 1

        # Audit the creation of the Unicode buffer for security/logging purposes
        _sys.audit(""ctypes.create_unicode_buffer"", init, size)

        # Create a ctypes `c_wchar` array type of the specified size
        buftype = c_wchar * size
        # Initialize the buffer with the string
        buf = buftype()
        buf.value = init  # Assign the string to the buffer
        return buf

    elif isinstance(init, int):
        # Handle the case where the input is an integer (specifying buffer size)
        _sys.audit(""ctypes.create_unicode_buffer"", None, init)

        # Create a ctypes `c_wchar` array type of the specified size
        buftype = c_wchar * init
        buf = buftype()  # Create the buffer (uninitialized)
        return buf

    # Raise an error if the input type is invalid
    raise TypeError(init)
","The create_unicode_buffer function is part of the Python ctypes library, designed to create mutable buffers for storing Unicode strings (wchar_t arrays). It supports two main use cases: initializing a buffer from a string or allocating a buffer of a specific size in wchar_t units. When a string is provided, the function calculates the appropriate buffer size to accommodate the string, taking into account the encoding of wide characters (UTF-16 or UTF-32) and adding space for a null terminator. If an integer is provided, it creates an uninitialized buffer of the specified size. The function ensures proper auditing and raises a TypeError if the input type is invalid."
"def SetPointerType(pointer, cls):
    import warnings

    # Issue a deprecation warning for this function
    warnings._deprecated(""ctypes.SetPointerType"", remove=(3, 15))
    
    # Check if the new type is already present in the cache
    if _pointer_type_cache.get(cls, None) is not None:
        raise RuntimeError(""This type already exists in the cache"")
    
    # Verify that the pointer is in the cache; raise an error if not found
    if id(pointer) not in _pointer_type_cache:
        raise RuntimeError(""What's this???"")
    
    # Update the pointer object to use the new type
    pointer.set_type(cls)
    
    # Add the new type to the pointer type cache
    _pointer_type_cache[cls] = pointer
    
    # Remove the old type mapping from the cache
    del _pointer_type_cache[id(pointer)]
","The SetPointerType function modifies the type associated with a ctypes pointer object and updates the internal pointer type cache. It is primarily used to redefine the behavior of an existing pointer type by associating it with a new class. The function first checks if the new type is already in the cache, raising a RuntimeError if it exists, to prevent conflicts. It also validates the provided pointer by ensuring it is in the cache. The pointer's type is updated, and the cache is updated accordingly by removing the old mapping and adding the new one. This function is deprecated as of Python 3.15 and should be used cautiously."
"def DllGetClassObject(rclsid, riid, ppv):
    try:
        # Attempt to import the in-process server implementation from comtypes
        ccom = __import__(""comtypes.server.inprocserver"", globals(), locals(), ['*'])
    except ImportError:
        # Return CLASS_E_CLASSNOTAVAILABLE if the module cannot be imported
        return -2147221231  # COM error code indicating the class is not available
    else:
        # Delegate the request to the DllGetClassObject function in the inprocserver module
        return ccom.DllGetClassObject(rclsid, riid, ppv)
","The DllGetClassObject function is a COM server entry point typically used by in-process COM servers. It facilitates the creation of a class factory object, which can then create instances of a specified COM class. The function imports the comtypes.server.inprocserver module to handle the request. If the module is unavailable, it returns the standard COM error code CLASS_E_CLASSNOTAVAILABLE (-2147221231), indicating that the requested class cannot be provided. Otherwise, it delegates the handling of the request to the DllGetClassObject function in the inprocserver module."
"def DllCanUnloadNow():
    try:
        # Attempt to import the in-process server implementation from comtypes
        ccom = __import__(""comtypes.server.inprocserver"", globals(), locals(), ['*'])
    except ImportError:
        # Return S_OK if the module cannot be imported, indicating the server can be unloaded
        return 0  # S_OK
    # Delegate the unload check to the DllCanUnloadNow function in the inprocserver module
    return ccom.DllCanUnloadNow()
","The DllCanUnloadNow function determines whether an in-process COM server can be unloaded from memory. It is a standard COM entry point used by COM clients to check if the server has no active objects or references. The function tries to import the comtypes.server.inprocserver module, which contains the implementation of DllCanUnloadNow. If the module is not available, it returns S_OK (0), signaling that the server can be unloaded. Otherwise, it delegates the call to the DllCanUnloadNow function in the imported module.

"
"def _last_version(libnames, sep):
    def _num_version(libname):
        # Split the library name into parts using the specified separator
        parts = libname.split(sep)
        nums = []
        try:
            # Extract and convert the numeric components, starting from the end
            while parts:
                nums.insert(0, int(parts.pop()))
        except ValueError:
            # Ignore parts that cannot be converted to integers
            pass
        # If no numeric parts are found, return a high default value ([maxsize])
        return nums or [maxsize]

    # Find the library name with the maximum version using the custom key function
    return max(reversed(libnames), key=_num_version)","The _last_version function identifies the ""latest version"" of a library from a list of library names based on version numbers embedded in their filenames. It takes two arguments: a list of library names and a separator string (sep) used to split the library names into parts. Internally, it defines a helper function _num_version that extracts and converts version components from the library name into a list of integers, which is then used to determine the order of versions. The function returns the library name with the highest version number, using Python's max with a custom key function."
"def get_ld_header(p):
    # Initialize the ld_header variable to store the matching line
    ld_header = None
    
    # Iterate over each line in the process's standard output
    for line in p.stdout:
        # Check if the line starts with a relative or absolute path
        if line.startswith(('/', './', '../')):
            ld_header = line  # Found a possible ld header
        # If the line contains the word ""INDEX"", return the last found ld header
        elif ""INDEX"" in line:
            return ld_header.rstrip('\n')  # Return the path-like line, stripping trailing newline
        
    # If no matching line is found, return None
    return None","The get_ld_header function reads the output of a process (typically from the standard output stdout) and attempts to extract the first line that starts with a path indicator (/, ./, ../), which is treated as the ""ld header"". The function iterates through each line of the output, identifying the line that contains the path. It returns this line, stripped of trailing newlines, once it encounters a line containing the word ""INDEX"", signaling the end of the relevant section. If no such lines are found, it returns None."
